variant,profile,run_id,is_warmup,samples_total,samples_success,samples_failed,duration_s,throughput_rps,http_mean_ms,http_median_ms,http_p95_ms,http_p99_ms,app_n,app_mean_ms,app_median_ms,app_p95_ms,app_p99_ms,submitted_n,classified_n,failed_n,swept_n,pairing_loss_pct
e-sync,baseline,baseline_m3,False,201,201,0,4.683,42.92120435618194,20.81094527363184,20.0,24.0,27.0,200,10.145,10.0,11.0,15.009999999999991,200,200,0,0,0.0
e-sync,baseline,baseline_m4,False,201,201,0,4.724,42.54868755292125,20.90049751243781,20.0,24.0,31.0,200,9.57,9.0,11.0,11.0,200,200,0,0,0.0
e-sync,baseline,baseline_m5,False,201,201,0,4.619,43.515912535180775,20.28358208955224,20.0,23.0,29.0,200,9.515,9.0,11.0,11.0,200,200,0,0,0.0
e-sync,baseline,baseline_warmup,True,201,201,0,4.736,42.44087837837838,21.034825870646767,20.0,25.0,37.0,200,9.58,9.0,10.0,11.0,200,200,0,0,0.0
e-sync,high,high_m1,False,9824,9824,0,60.413,162.6140069190406,112.0755293159609,113.0,167.85000000000036,211.0,9823,33.7933421561641,28.0,68.0,107.78000000000065,9823,9823,0,0,0.0
e-sync,high,high_m2,False,9926,9926,0,60.404,164.32686577047878,110.939149707838,112.0,162.0,204.0,9925,31.734508816120908,27.0,61.0,96.0,9925,9925,0,0,0.0
e-sync,high,high_m3,False,9209,9209,0,60.411,152.43912532485805,119.5419698121403,119.0,185.0,226.0,9208,43.04268027801911,38.0,86.0,126.0,9208,9208,0,0,0.0
e-sync,high,high_m4,False,9571,9571,0,60.383,158.50487720053655,115.0524501097064,114.0,180.5,233.29999999999927,9570,36.015882967607105,29.0,77.0,117.0,9570,9570,0,0,0.0
e-sync,high,high_m5,False,9934,9934,0,60.396,164.48109146301078,110.83803100463057,112.0,166.0,213.0,9933,31.555320648343905,27.0,60.0,99.0,9933,9933,0,0,0.0
e-sync,high,high_warmup,True,9141,9141,0,60.447,151.22338577596904,120.45312329066842,121.0,187.0,227.0,9140,43.66225382932166,38.0,86.04999999999927,123.61000000000058,9140,9140,0,0,0.0
e-sync,moderate,moderate_m1,False,3753,3753,0,60.425,62.110053785684734,45.67092992272848,47.0,67.0,73.0,3752,27.66551172707889,25.0,51.0,59.0,3752,3752,0,0,0.0
e-sync,moderate,moderate_m2,False,3697,3697,0,60.406,61.2025295500447,51.169867460102786,54.0,69.0,82.0,3696,32.02895021645022,30.5,55.0,61.0,3696,3696,0,0,0.0
e-sync,moderate,moderate_m3,False,3540,3540,0,60.435,58.5753288657235,58.813276836158195,62.0,74.0,80.61000000000013,3539,38.085334840350384,38.0,59.0,65.0,3539,3539,0,0,0.0
e-sync,moderate,moderate_m4,False,3671,3671,0,60.344,60.83454858809492,52.520294197766276,55.0,72.0,84.0,3670,32.34550408719346,31.0,56.0,64.0,3670,3670,0,0,0.0
e-sync,moderate,moderate_m5,False,3636,3636,0,60.312,60.28651014723438,53.835808580858085,55.0,70.0,78.0,3635,33.44924346629986,32.0,55.0,62.0,3635,3635,0,0,0.0
e-sync,moderate,moderate_warmup,True,3673,3673,0,60.397,60.814278854910015,48.76694799891097,51.0,67.0,73.0,3672,29.839324618736384,27.0,53.0,59.0,3672,3672,0,0,0.0
s-async,baseline,baseline_m1,False,201,201,0,2.85,70.52631578947368,11.328358208955224,11.0,13.0,19.0,400,1608.0675,1621.0,2922.05,3035.2999999999997,400,400,0,0,0.0
s-async,baseline,baseline_m2,False,201,201,0,2.848,70.57584269662922,11.512437810945274,11.0,14.0,20.0,200,1531.725,1509.0,2854.5499999999997,2967.1499999999996,200,200,0,0,0.0
s-async,baseline,baseline_m3,False,201,201,0,2.918,68.88279643591501,11.771144278606965,11.0,14.0,18.0,200,1391.5,1368.0,2626.15,2737.04,200,200,0,0,0.0
